UserID,ItemID,overall,value,service,rooms,location,cleanliness,checkin,business
0,553,4,2,2,5,3,5,0,0
0,554,4,5,3,4,5,5,3,0
0,556,5,5,5,4,5,5,5,0
0,557,4,5,4,4,0,5,0,0
1,111,3,3,2,4,5,3,0,0
1,159,5,4,3,5,3,4,5,4
1,563,1,1,1,1,3,1,0,0
1,565,2,4,4,2,2,1,3,3
1,567,5,4,4,5,4,5,4,4
1,568,2,2,2,2,3,1,2,3
2,0,4,4,5,4,4,5,0,0
2,572,5,5,5,5,5,5,0,0
2,573,5,5,5,5,5,5,0,0
2,574,2,1,3,1,5,5,0,0
2,575,1,2,2,1,5,1,0,0
2,576,5,5,5,5,5,5,5,5
3,0,4,4,5,4,3,5,0,0
3,289,5,5,5,5,5,5,0,0
3,572,4,4,4,4,5,5,0,0
3,580,4,3,5,5,5,5,4,0
3,581,1,1,1,1,2,1,1,0
4,0,4,5,3,4,4,5,5,2
4,15,4,4,2,3,5,5,0,0
4,169,5,5,5,4,5,4,5,0
4,192,4,4,3,4,5,5,0,0
4,290,2,2,2,3,3,4,2,0
4,377,2,2,2,2,4,5,2,3
4,569,4,4,2,4,3,5,3,3
4,591,5,5,5,5,5,5,0,0
4,592,5,5,5,5,5,5,0,0
4,594,4,3,2,3,5,4,4,0
5,0,5,5,5,5,3,5,5,0
5,360,5,3,5,5,5,5,5,0
5,609,5,5,5,5,5,5,0,0
6,0,5,5,0,5,4,5,5,4
6,339,4,3,5,4,4,3,5,0
6,429,4,3,4,5,3,5,3,0
6,472,2,3,0,2,3,2,3,0
7,0,5,5,5,5,5,5,5,0
7,98,3,3,4,3,3,4,3,3
7,616,5,4,5,5,5,5,0,0
7,617,5,4,4,4,5,5,0,0
7,618,5,5,5,5,5,5,5,0
7,619,4,4,3,5,5,5,5,0
8,0,5,5,4,4,4,5,4,4
8,335,3,3,4,4,2,4,0,0
8,562,4,4,4,4,4,4,0,0
8,606,4,4,5,4,5,5,0,0
8,623,4,5,4,4,5,4,0,0
8,624,4,5,4,4,4,4,4,3
9,156,3,3,1,1,3,5,2,0
9,381,4,4,5,5,5,0,4,4
9,539,5,4,5,5,5,5,5,5
